data_container,transcript,quote or transcriber's summary
E.5    ,"   At present, to get a reasonable job that requires Masters Degree, it is not possible with SSC or HSC education. Early marriage must be prevented if girls get opportunity to complete up to intermediate level.",quote
E.6    ,"No, the parents here do not take same commitment for sons and girls’ education. In our village, the parents have different promise and commitment for sons and daughters’ education. [all participants  agreed]",quote
E.6    ,"I think parents do not take same commitment for their daughter’s education. Because parents think that their sons can support agricultural works along with their study but girls cannot give such assistance to the household. So, parents arranged marriage for their daughters as early as possible.  ",quote
E.6    ,"Many families realize that daughters are not contributing economically if they become educated. But on the other hand, sons play major roles for the family if they are educated and gets good job. So, parents feel educating sons is their responsibility and consider it as future investment.",quote
E.6    ,"My opinion is that, more parents are becoming aware about their son and daughter’s education nowadays.",quote
E.6    ,Adibashi families are giving same priority for sons and daughters’ education.  ,quote
E.6    ,Many parents did not pay attention to their children’s education before. Now about 30 percent parents become aware and taking same commitment for both son’s and daughter’s education and many parents are encouraged by government’s financial stipends and supports.,quote
E.7    ,"The boys here entered to agricultural works as early as at 8-10 years. At this level, boys bring food for father in the fields. They learn to keep cattle and collect fodder for domestic animals and also assist their parents in land preparation. They learn to weed when their father having a break for food.",quote
E.7    ," In the years between 12-15, boys actively participate most of the agricultural works. At this level, they can do ploughing, sowing/transplanting rice, wheat, maize and other crops, irrigating, harvest and carrying home the harvested crop with their father and elder brothers. Ages at 16 and onwards, youths do all sorts of agricultural works in the crop fields and nonfarm works at home.  ",quote
E.7    ,"At 7-8 year, girls start learning and assisting household chores with their mothers. At later stage, girls also learn preparing fodders for domestic animals. At 10-12 years, they can look after goat and chicken and work with mother in the kitchen garden.  ",quote
E.8    ,"Among various reasons, many boys and girls end their schooling due to inadequate money. There is no enough money at hand.",quote
E.8    ,Some parents do not understand the significance of schooling.  ,quote
E.8    ,Some parents stop sending their spoiled sons who are lazy and do not concentrate in education;,quote
E.8    ,Some boys stop schooling after their father’s untimely death;,quote
E.8    ,Parents do not support anymore when their sons become addicted in narcotic elements and also in unsocial acts.,quote
E.8    ,  Obviously a great number of girls stop their education because of their untimely marriage and some boys also fall in same trap due to their marriage.   ,quote
E.9    ,The number 1 reason: Most boys stop their education due to economic insolvency. The poverty is the prime reason for stopping schooling untimely.  [All participants have agreed to this opinion],Transcriber’s summary
E.9    ,Then youths throw their different opinions for the second most important reasons;,Transcriber’s summary
E.9    ,I think children stop education when parents are not aware about importance of education; [Eight participants out of 10 agreed to this opinion]  ,Transcriber’s summary
E.9    ,I think children stop their education when their father died untimely. [Two participants out of 10 agreed to this opinion]  ,Transcriber’s summary
E.9    ,I think many girls and boys stop their education due to early marriage and entering jobs or agricultural activities. [5 participants out of 10 agreed to this opinion]  ,Transcriber’s summary
E.10    ,I have a plan that I want to complete my education then I want to get a job;,quote
E.10    ,Most youths here think they want to start a good job after study;,quote
E.10    ,The aim vary for each person. Some youths just desire a simple job but some want to be a member of parliament (MP).,quote
E.10    ,Most boys want to do government job where the officers get honour and respect and more facilities and benefits but there are more work load in the private job.,quote
E.10    ,I am studying because I want to develop in our business.,quote
E.10    ,Youths from well off families want to be an entrepreneur but youths from middle class background having dreams to enter into job.,quote
E.10    ,I am studying for developing myself for acquiring something better and I also want to do something for the village people.,quote
E.10    ,I am studying because I want to manage my life well with my acquired knowledge and this is my target/goal.  ,quote
E.11    ,Most men entered in agricultural work when they are no longer a student.,quote
E.11    ,Many youths got married just after ending their study. Some youth who could complete education they try to enter private company jobs or in the garments industry.,quote
E.11    ,"Some youths got married first then sell their labor when they are no longer a student. Again, when there is no local agricultural work available some youths go elsewhere for work.",quote
E.11    ,"Some youths start a small business if they manage capital. And also some youths drive tractor, power tiller, autos and rickshaw/van etc.  ",quote
E.11    ,Most parents here start thinking for marriage when their daughter promoted to grades eight.  ,quote
E.12    ,I think youths should start an income generating activities when they stopped their schooling.  Remaining unemployed is not good for him and family thus he should start anything immediately.,quote
E.12    ,"At first, someone with higher education, s/he should try to get a job. He should at least start private tuition if taking longer period for entering formal job. And he should accumulate some capital to start a petty business.  ",quote
E.12    ,"Girls should get married when they finished studying, this will be good for them [expressed this opinion by all participants]. Moreover, they can start a job or work/organize a cottage industry.  ",quote
E.13   ,"In fact, many new agricultural practices and innovations introduced here during last four or five years. RDRS and BRAC have working with local farmers on agricultural practices.  These are including improved wheat, maize, rice mustard pumpkin, hybrid jute and other vegetable seeds. Improved new seed varieties are also marketing here by different private companies;",quote
E.13   ,"RDRS introduced new agricultural technologies. These are including PTOS machine, Bed Planter, Strip tillage, and some other machines motorized irrigation pump, fertilizers, weed killers and pesticides.",quote
E.13   ,"Moreover, we also got harvester, thresher, mower, weeder and pesticides spray machine  ",quote
E.13   ,"New ideas, knowledge, trainings, and agriculture field school, demonstration fields etc. are also added here in the agricultural practices. RDRS organizing field schools, trial plots/demonstration plots. Special trainings are organized through Farmers’ Federation. We can sit and discuss our challenges and remedies with BS (Block Supervisor), NGO staff and higher officials from government extension department.  ",quote
E.14   ,Our combined opinion is: the most important modern technologies and then training and knowledge regarding agricultural practices. [All FGD participants agreed]. ,quote
E.14   ,Technologies are essential and highly important for agricultural development. And knowledge and training precondition to use all those technologies.   ,quote
E.14   ,Another participant said: knowledge and training regarding agriculture is the most important [All participants agreed],quote
E.14   ,Some said that improved seeds should be in Rank 2 because without this we cannot get higher yield. [Eight participants out of 10 have agreed to this statement],quote
E.14   ,The farmers are enriching their well-being through modern agricultural practices where improved seeds are also most important items.  ,quote
E.14   ,The youth participants also appreciated that women need more trainings regarding modern agricultural practices which are also very important for farmers. Training can provide a right technique to do the things.  This will also make them efficient and confident. ,quote
E.14   ,"Then, the second most important items are various improved seeds. The women also contribute significantly to their households and raise economic position if they obtain these two items. ",quote
E.15  ,The female farmers get opportunity to some extent to learn new agricultural knowledge and trainings through various NGO programs.  But there is little scope for them to try the new practices. They need more opportunities which can be useful for more economic return for them for family.,quote
E.15  ,"Many Muslim families do not allow women’s work in the crop field. So, they have limited freedom. But exceptionally, the adibashi married women have more freedom to participate both in field and home. These women are participating at all levels of agricultural activities.",quote
E.15  ,Only a few women are participating but if they get more offers can improve their household position.,quote
E.15  ,Women cannot take additional advantages compared to men.,quote
,"Module 2.  Gender norms, livelihoods, and family formation (1 ½ hours)",quote
E.16   ,"Important wheat innovation for men  NowImproved wheat and maize seeds Wheat -BARI 28, Maize- Miracle seed Improved paddy seed – Sharna, 56, vegetable seeds,PTOS machine, tractor, pump machine, spray machine, strip tillage, bed planters methods Improved fertilizers, pesticides and weed killerNew knowledge, information, field school, and relevant knowledge consultationRaising chicken and livestock Have Farmers’ Federation, farmers are organize now",Transcriber’s summary
E.16   ,"Important wheat innovation  for men Ten years agoTraditional wheat and maize seeds, Local Parija and some other traditional rice seeds varieties;No technologies available e.g. PTOS machine but farmers used bullock ploughing for land preparation and practice traditional seed sowing which require more seeds;   Traditional equipments were usedImportant fertilizers and other necessary pesticides were not availableModern knowledge and import trainings were not provided;   Inadequate knowledge on raising livestock and chicken- No Farmers organization.",Transcriber’s summary
E.17    ,"Various NGOs programs have changed the agricultural practices in our village.  These programs introduced various improved seeds and new technologies to the local farmers. Moreover, different private companies are also marketing and introducing improved seeds and other agricultural materials during the last 5 years.  ",quote
E.17    ,"The new technologies e.g. PTOS machine and its strip tillage and bed plant is reducing the requirement of seeds, and other related cost in agricultural farming. The zero-tillage method has reduced the traditional necessity of irrigation in the wheat/maize cultivation. The man power requirement has also reduced in the bed planter and strip tillage methods. This zero-tillage system is using in jute and paddy fields.  ",quote
E.17    ,"The remarkable change has occurred in zero-tillage farming that brings higher yields. Another important change occurred that is seed, irrigation and labour requirements also reduced. No need to weed now. The new agricultural practices have changed the production dramatically within the last ten years. The main reasons are including the improve seed varieties, new improved technologies, and knowledge.",quote
E.17    ,The prime reasons of these changes in agricultural practices are economic benefits and various advantages in crop cultivation processes.  Many farmers accepted the new practices because cultivation becomes easier than before.,quote
E.18   ,"Yes, there are social norms which regulate various works here. For example, women have limited access to agricultural works due to the local norms.  This norm was more restricted before. Despite the prevailing social norms, currently many women are assisting to their husbands in the crop and vegetables field. Women are also receiving trainings and joining the farmers’ federation. This was not possible for women in the past. But the processing the harvested crops, drying all crops and preserving all seeds are predominantly women’s work. The local adibashi Santal women have easy access to all level of agricultural activities.",quote
E.18   ,"On the other hand, collecting fodder for cows, ploughing lands, transplanting, weeding, sowing, harvesting etc. is men’s work. And carrying loads from field, selling agricultural products in market are also men’s work.",quote
E.18   ,"Raising cows, goats, chickens, duck and cultivating vegetables in the kitchen garden are task of woman as well. Single young women from both the Muslim and adibashi communities are still rare in agricultural activities.",quote
E.18   ,"Participants also mentioned that, about 20-25 percent women engaged in agricultural activities in our village.   ",quote
E.19    ,There will be no restriction if a young woman grows wheat or maize. [said 1 participant amongst 10].,quote
E.19    ,"Women should not go to local market because market is men’s place and dominant by male. There will be problems if a woman goes to market to sell the crops. Makers will make fun, laughs at her. All market men make fun about her. (One participant out of 10].",quote
E.19    ,Another participant said:  I think not all people will make fun and criticize about her but it could be 30-40 percent people.,quote
E.19    ,There will be no problem if someone is widow or if there is no adult male in the family.,quote
E.19    ,I think this will not be possible anyway. Why women will go to market for sell her products? She may call a trader at her home but she could not sell it to market.,quote
E.19    ,"We have shop in the local market, so far I never saw a woman selling her products in our market.",quote
E.19    ,"However, many people will criticize behind her and she may lose her social dignity and respect.",quote
E.20    ,There is no restriction for a man to sell any products he grows in his field.  This is the social norm here. This is very normal.,quote
E.20    ,A man wheat/maize grower should be prevented to sell his product in the local market no one can think about this.  ,quote
E.20    ,"It is accepted and appreciated if a young man grows wheat, maize, rice and vegetables in the distant fields or nearby.  Society accepted that men can grow and sell any products whether it is agricultural products or animals.  ",quote
E.21,There is one norm here that is decided by father the head of the household. There is no separate decision maker for men’s and women’s land in one household. Land may be owned by both husband and wife but all lands are supervised by husband. Usually older son may take decision consulting with mother if father died or absent.,quote
E.21,A little amount of land entitle by women. Some daughters inherit little amount of lands but those lands are cultivated by their husbands.,quote
E.21,"In adibashi community, all lands entitled by men. Some husbands (from well off and solvent households) give a little plot to their wives name. But this is rare practice.     ",quote
E.21,"In Bengal society, all male members of a household work in the crop fields. This is common practice.  But women grow in the kitchen garden is also familiar practice in Bangladesh.  ",quote
E.22    ,"There is no such norm here. Most plots are cultivated and supervised by men whether those plots are owned by men or women. In case of husband’s absence, or no adult male in the household then women look after crops and take major decisions herself for cultivation. She may consult other family members or good farmers in the village.",quote
E.23    ,"There are no social restrictions for men to work women’s lands. Other family members work on women’s land too. Similarly, women also work to her husbands’ lands if her husband died or absent. It is mentionable that almost all the cultivable lands and homesteads are entitled to men in our village.  ",quote
E.24    ,"Women and men both consult with other farmers when it is a new crop. She will first consult with her husband if he is still alive. And if her husband already died then she will consults with local NGO staff, grown up son, her in-laws and other neighbours.",quote
E.24    ,"On the other hand, a man consults with RDRS staff, BS, his wife and neighbours as well when he is going to plant a new crop or use a new technology. Moreover, he may consult with good farmers and the local seed dealers.",quote
E.24    ,Most men rarely consult with their wives and they don’t feel consulting is essential with wives.,quote
E.25    ,Some households may not accept Ana’s participation in the vegetable grower’s group. But most families will accept her proposal.,Transcriber’s summary
E.25    ,FGD participants agreed that Adam will accept Ana’s joining a local women’s group.,Transcriber’s summary
E.25    ,Some households may not accept if there is work at Ana’s hand.,Transcriber’s summary
E.25    ,The participants think this joining is positive for her work. She may get new ideas or training which will enrich her works.,Transcriber’s summary
E.25    ,  [All participants have agreed],Transcriber’s summary
E.26    ,"Adam shall tell Ana that, why you will go to market when I am here?",quote
E.26    ,"Whatever happened, Adam will not accept Ana’s proposal to sell her vegetables in the local market.",quote
E.26    ,Adam himself may go or send his son to local market if it is much essential but he will obviously not allowed her.     [All participants agreed],quote
E.27    ,"Actually, Adam may not ask if Ana is really busy in her work. This will depend on Adams wish here in our village. Those who are good husbands here obviously understand Ana’s situation but some may not consider her.",quote
E.27    ,Most husbands here will ask her help despite her workload. [Nine participants have agreed out of ten],quote
E.27    ,Adam will not ask her help [one participant],quote
E.28     ,"In our village, it is Mary who is doing odd job which is not accepted by our society (samaj). Surely, Mary is spoiling her social position and dignity in the village because she goes to the local market where she sells her products. She may be lost respect (somman harabe) and reputation.  [Ten participants have agreed and raised their hands.]",quote
E.29    ,Mark is also losing his social status and dignity in the village. His friends will tease and belittled him for his wife’s jobs.,quote
E.29    ,Many friends may not say their bad comments in front of him but behind him they will do so. He must lose his respects (somman harabe) from others.  ,quote
E.29    ,Some friends will try to make fool him and call him as cowered.,quote
E.29    , [All participants have agreed],quote
E.30    ,"Mark will dislike it if he is good husband but he may be liked it if he is a bad farmer himself or a lazy man. So, his reaction will be a positive one to her initiatives. [All participants  agreed]",quote
E.30    ,I think he will be happy because she has changes their economic situation [participants are divided]  ,quote
E.31    ,I think gender equality means when a man and a woman share the same work and protect their rights. And equality is of course a good in a family. This will increase better understanding among couples.,quote
E.31    ,Gender equality means equality between couples.  When a husband gives rights to his wife and his wife does the same that is equality.,quote
E.31    ,Our traditional society does not allow gender equality. In the eyes of society equality is not good but it has merit which helps a family advancement. I think this is fine for a society.,quote
E.31    ,"An adibashi man said, “Our society will not accept equality between husband and wife. But I personally think this good for a society. This is okay and it is essential. I also think if our younger generation accepts it then it could be established in our society”.   ",quote
E.31    ,If we could practice the equal rights for all of us then our society accepts it and the society would benefit out of it.,quote
E.32,David and Diana will make this decision jointly; [Eight participants out of ten have agreed]   ,quote
E.32,"My opinion is: Diana knows the needs much better for her household. So, this is her decision [Two participants out of ten have agreed]    ",quote
E.32,I think Diana will take decision because she knows how much to keep for consumption and how much is for selling in the market.,quote
E.32,They will first consult the necessity for home and then take decision for sell. It is not possible for Diana alone.,quote
E.32,[All participants have agreed]   ,quote
E.33    ,"As David is the head of the household, so he will sell vegetables. It is not possible for Diana. Man can go to market but women are not allowed to go to market and sell products here. [All participants have agreed]   ",quote
E.33    ,There will be no social hindrances if he sells all vegetables in the market but there will be restriction if Diana moves in public places and sell her products. People will tease and make fun of her work. That will reduce her social dignity as well.,quote
E.33    ,   [All participants have agreed]   ,quote
E.34    ,"First, David will think about his wife’s proposal. He will accept it if he finds it profitable. He may also talk to other farmers in his area.",quote
E.34    ,"  Moreover, David will also pay attention to the whole story of requirements and process of the cultivation from Diana.",quote
E.34    ,They will do it at least for one year.,quote
E.34    ,[All participants have agreed],quote
E.35, Response Private votingVery easy 1Easy 1Neither easy nor difficult 0Difficult 1Very difficult 7Total 10,Transcriber’s summary
E.35,When Diana receives inheritance from her natal family and goes ahead for purchasing the plot in the absence of David’s support. The participants expressed their responses in a private voting as: ,quote
E.36    ,It will be difficult for Diana to purchase the plot because there is no support from David. A wife cannot go against her husband and establish the plan alone. There will be a misunderstanding between husband and wife.,quote
E.36    ,Violence may arouse for it in the family in such a situation. David can beat her wife if she goes alone with plan. The marriage can be broken down. David may divorce her.,quote
E.36    ,"There will be huge fights and violence between husband and wife if Diana fulfills her plan. Diana may go for arbitration and she will win the arbitration but David may stick to his point. So, this is in fact, a difficult plan for Diana.   ",quote
E.36    ,"This will be neither easy not difficult for Diana because she is going to purchase a land which will increase income further. The society around will support her. So, it might be easier for her to purchase the plot.",quote
E.37    ,When David receives inheritance from his natal family and goes ahead for purchasing a motorbike. The participants expressed their responses in private voting as: Response Private votingVery easy 5Easy 1Neither easy nor difficult 2Difficult 2Very difficult 0Total 10,Transcriber’s summary
E.37    ,"To fulfill David’s plan is much easier for him because he is head of his household and he is getting the inheritance from his family. So, there is fewer chance to face difficulties if goes with his plan.",quote
E.37    ,Diana may oppose him and shout at him for his plan but it could be calm down soon.,quote
E.37    ,"It would be easy for a man because he will tell his wife that he is the ‘provider’ of the household so, you don’t have to say anything against my plan.  ",quote
E.37    ,I think it would be difficult for David as well because there will be a fight and she may threat him for divorce or leave the family for time being. This can postpone David’s plan.,quote
E.37    ,"Diana’s proposal has positive and indispensable points to the eyes of the local society (samajer chokhe) as well. So, there will be social pressure against David plan.",quote
E.38    ,Young women can go to the local market alone in day time. And there are no problems for girl students. With school uniform is much easier.,quote
E.38    ,There is no problem if she has bad intention in her mind. And there is no problem for the girl student.,quote
E.38    ,Young women can go to local market if she needs photographs and to visit doctor.,quote
E.38    ,Young women can walk alone in the market but there must be gossip about them in the market.,quote
E.39   ,A young woman cannot move alone in the local market after her marriage. She can go to market with her husband or must accompany someone in absence of husband. She may go to the local market alone if her husband approves it.,quote
E.39   ,Parents do not allow their daughter alone go to the local market because there is eave teasing issue against young woman.  A young woman’s movement is always supervised by natal families before her marriage.,quote
E.39   ,Young women’s visit local market alone after marriage is not common practice here. She depends on husband’s decision in this regard after marriage.,quote
E.40    ,Women come only to buy things in the local market but not for sell.  A few Hindu widows come here to sell their products but not from Muslim households. Because everyone is abide by this social norm here. No one goes against this for selling her products.   ,quote
E.40    ,This is not easy to sell her products. There will be problems for her socially.,quote
E.41    ,Private Vote for Rating of women’s Movement Practically no women move freely on their own in the village   1 2 3 4 5 6 7 8 9 10 Practically all women move freely on their own in the village  Responses 3 2 3 0 2 0 0 0 0 0 10,Transcriber’s summary
E.41    ,Most women cannot move freely here; only insignificant number (5-10 percent) of women goes to market here and these are aged women. Again they don’t move alone.,quote
E.41    ,Another participant said: it could be about little above 10 percent. Most guardians forbid women’s movement in the public places alone.,quote
E.41    ,Women’s free movements damage reputation of the family/linage. There are problems arise during daughter’s marriage of that family. Social norms play significant roles here.   ,quote
E.41    ,Older or mother aged woman may go alone but others cannot go alone without reasonable grounds;,quote
E.41    ,"Young women are visiting local market, college and photographer shop alone nowadays for various reasonable causes.",quote
E.42    ,"For youths it would not be difficult to move to distant cities. But they need to have good support there for meals, staying and reference for jobs. It would be convenient for them if they have close relatives and monetary supports.    ",quote
E.42    ,"It would be easier for migrate abroad if youths are educated, skilled and knowledgeable. But there would not be difficult that much if they go for day labour activities. You do not need specific reference for getting a day labour work.",quote
E.42    ,Many youths are migrating to XX and other urban areas from our village. Some youths have established networks in various cities and surrounded areas. They go there during the lean period here. Some youths are migrating to distant city XX where they pull rickshaw and rickshaw van.  Some men also migrated abroad from our village.  ,quote
E.43    ,"First, people want to know why they come back here. It would be acceptable if he returned for reasonable causes. But people may make fun or tease him if he comes back for false and unacceptable reasons.  ",quote
E.43    ,Local people and friends will accept him if he returned for sickness or any other important reasons. Then he could do work available locally.  ,quote
E.43    ,"He can start local works e.g. engaged in farming, day labour, start a small business or can drive a local vehicle or tractor/power tiller or can work in a local restaurant. He can also start a career as an automobile /cell phone technician.  ",quote
E.43    ,"Some cannot adjust with local work then they move idly here and there. They are not accepted cordially by parents, friends and neighbours.",quote
E.44    ,Most marriages are arranged here;,quote
E.44    ,A general trend of marriage age is between 18 to 24 years for men in our village. But a little percent of boys also got married as early as 15 to 18 years;,quote
E.44    ,"On the other hand, girls’ marriages are arranged much earlier here. The general age of marriage trend for them is 12 to 18 years.  However, parents arrange their daughter’s marriage at 15 to 16 years.   ",quote
E.44    ,A little group of male youths get married late. They complete their education and entered job market then they go for marriage.    ,quote
E.44    ,And 5-10 percent girls got married within 14 years (most are love marriage) and a very negligible number female youths get married above 20 years.    ,quote
E.45    ,Marriage decisions are taken by parents and elderly people here. About 80 to 90 percent marriages are arranged by parents.  They are the decision maker for everything regarding marriages. And only 10 percent marriages happened out of that system. These 10 percent boys and girls run away from home and got married.  ,quote
E.45    ,The society (samaj) does not promote this behabiour.,quote
E.46,We think and our opinions are same here. We think marriage decision should be taken by parents and knowledgeable persons from the family because they understand this matter better than me.,quote
E.46,  Marriage decision should be taken all family members jointly.,quote
E.47    ,Most couples take their first baby by two years of marriage here.,quote
E.47    ,"In our village, most women get first child during their 14-16 years.",quote
E.47    ,A little percents (10 percent) of women have first child at 18 to 20 years.,quote
E.48    ,I think the age is not appropriate for getting baby at 14 to 16 years. They are not fully prepared for having baby in this age. It is bad for both mother and child.,quote
E.48    ,"At that age, a girl is not prepared physically and mentally for having baby.  Their health may be deteriorated for having baby  in this early age.",quote
E.48    , Most of the pregnant girls have to struggle during their pregnancy and delivery. Many died or suffer during the delivery time and after delivery.,quote
E.49    ,"One youth said, women should have first baby at 19 and 20 years. [Two participants agreed]",Transcriber’s summary
E.49    ,"Eight participants said, women should have first baby at 20 to 22 years.",Transcriber’s summary
E.49    ,Having a first baby before this age is not good for their physical and mental health. In the twenties women get mature for herself and for the baby. She could be prepared for herself and the baby.,quote
E.50    ,When to have first baby and how many children to have this decision is taken by husband and in-laws sometimes not by the woman in our village [a married youth said the above point].,quote
E.50    ,"Then an unmarried youth said, this type of decision must be taken by the husband and wife jointly [all unmarried youths supported him].",quote
E.50    ,"No, women alone cannot take this crucial decision in this village. This decision should be taken jointly.",quote
E.50    ,"Then, another participant said, this decision has been taken by some husbands alone in some households and also taken jointly in some families. [Another married youth said this point]. ",quote
E.51    ,I want to see our village is free from child marriage in the future and we also want to see the impacts when all girls got married and have baby when they are fully prepared;,quote
E.51    ,I want to see our village with all youths obtained higher education.,quote
E.51    ,We want to see the man and woman enjoying equal rights in the society and we want to establish free from illiteracy.    ,quote
E.51    ,I want to see our village is a fully solvent and having all sorts of modern agricultural technologies available here.,quote
E.51    ,"The development of communications, educational methods and technical schools are also established in our village.",quote
,,
