country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,page number,container,background information,comments,enumerator_id,confidence interval
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_UNSP,some go to cities for jobs,city jobs,quote,4,E.11,,Youth pursue employment by migrating to cities,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,some sit around doing nothing,inactivity,quote,4,E.11,,Unemployment/idleness after school is common,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_N,youth with large family land start farming,land advantage,quote,4,E.11,,Access to family land shapes post-school livelihood,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,some organize into association and start business,association business,quote,4,E.11,,Some youth form associations and begin enterprises,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,wood workshop,workshop business,quote,4,E.11,,Example of youth business activity,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,half of youth sit idly and get addicted,addiction/idleness,quote,4,E.11,,School exit often followed by idleness and addiction,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_UNSP,did not want laborer or farmer jobs,avoid labor/farm,quote,5,E.11,,Youth reject hard manual and farm work,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_UNSP,prefer tea house or video shop work,easy work,quote,5,E.11,,Youth prefer less physically demanding work,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_NON,really prefer to do nothing,no aspiration,quote,5,E.11,,Some youth are described as preferring no work,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,want factory and construction jobs,factory/construction,quote,5,E.11,,Preferred jobs are industrial or construction-based,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,jobs available only in towns and not easy to get,urban access barrier,quote,5,E.11,,Youth need help/connections to secure urban jobs,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,parents value government job highly,office job prestige,quote,5,E.11,,Public-sector work is highly admired,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,father wanted education then government job,father’s expectation,quote,5,E.11,,Father discouraged marriage and pushed formal employment,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_COL,"clerk, secretary or AEA",job models,quote,5,E.11,,Example of socially valued jobs,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,finish school should not be end; create own business,own business,quote,5,E.12,,Youth should build self-employment/businesses,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,better than dependence on family,avoid dependence,quote,5,E.12,,Return to family dependence is seen negatively,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,GAP,GAP_WID,creating jobs needs money and initiative,startup barrier,quote,5,E.12,,Business creation is limited by capital and initiative,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_UNSP,better to go to towns and take whatever work,practical fallback,quote,5,E.12,,Migration for available work is preferred to dependence,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,potato has huge market,market crop,quote,6,E.14,,Potato is valued for market demand,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,boosts household economy quickly,quick income,quote,6,E.14,,Potato quickly improves household income,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,most income comes from potato sale,sale income,quote,6,E.14,,Potato sales are a major present-day income source,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_N,maize requires much work and transport,labor burden,quote,6,E.14,,Maize is described as labor-intensive compared with potato,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,potato sold directly on plot,easier sale,quote,6,E.14,,Potato marketing is easier than maize marketing,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_N,potato reliable for food and income,reliable crop,quote,6,E.14,,Crop valued for both subsistence and income,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,planted in backyard so women can attend it,backyard women,quote,6,E.14,,Crop is linked to women because of location and care pattern,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,girls learn from mothers in vegetable gardens and dairy,girls’ training,quote,7,E.15,,Young women are socialized into female-coded productive roles,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,girls did not get land from family,no land to practice,quote,7,E.15,,Women cannot practice farming equally because they lack land,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,girls stay at home or go to school,home-based girls,quote,7,E.15,,Girls’ daily sphere is more home-centered than boys’,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_C,girls not involved like brothers,less ag exposure,quote,7,E.15,,Girls’ involvement in agriculture is lower than boys’,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,"no decision-making power, no own responsibility",no responsibility,quote,7,E.16,,Youth lacked authority over crops/livestock in parental household,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,everything decided by parents,parents decide,quote,7,E.16,,Parents controlled agricultural responsibility,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_O,new wheat seed and Gudene potato are changes,new seed,quote,8,E.17,,Men discuss agricultural innovation and new varieties,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,ASP,ASP_BUSS,Gudene potato has high market demand,market demand,quote,8,E.17,,New variety is valued for demand and profit,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,women work in vegetable garden and dairy,women’s tasks,quote,8,E.18,,Women’s work is concentrated in specific productive spheres,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,women help men by weeding and bringing seed,helper role,quote,8,E.18,,Women support men’s plots rather than lead them,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_MEN,NRM_MEN_C,farming is generally a man’s job,man’s job,quote,8,E.18,,Respondent explicitly defines core farming as male work,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,"women recently work as men do, even plow",changing roles,quote,8,E.18,,Men report a gradual shift toward women doing male tasks,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,thinking about women’s farming capacity is changing,changing capacity,quote,8,E.18,,Views about women as farmers are becoming more favorable,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_N,widow/divorcee with land can do what she wants,widow exception,quote,8,E.19,,Some autonomy is recognized for widows/divorcees with land,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,married woman with husband cannot do anything,husband veto,quote,8,E.19,,Married women’s actions are constrained by husbands,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,farming is his job and he does it,male farming authority,quote,8,E.19,,Male household head is considered farming authority,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,men have every right to raise or sell livestock,men’s rights,quote,8,E.20,,Men are assumed to control family livestock and sales,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,no such thing as her livestock or crop,no women’s ownership,quote,8,E.20,,Women’s separate ownership is denied,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,vegetable garden exclusively for woman,women’s domain,quote,8,E.20,,Vegetable garden is designated as women’s sphere,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,taboo for men to sell vegetables,taboo,quote,9,E.20,,Men face stigma for crossing into women’s market roles,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_AST,NRM_AST_C,no separate plots; all land belongs to man,all land male-owned,quote,9,E.21,,Group agrees land is family land under male ownership,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_N,widow consults farmers or AEAs; older son may take responsibility,widow consults,quote,9,E.24,,Access to information for women is conditional and exceptional,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,married woman leaves issue to husband,leave to husband,quote,9,E.24,,Married women defer crop decisions to husbands,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_O,men consult friends or AEAs,men’s advice access,quote,9,E.24,,Men have easier access to advisory networks,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,wives may be talked to but not for advice,wife not adviser,quote,9,E.24,,Women’s knowledge is not treated as authoritative,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_MOB,NRM_MOB_C,stay in your own home,stay home,quote,9,E.25,,Husband would restrict woman’s movement outside home,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,break your leg if you join them,violent sanction,quote,9,E.25,,Threatened violence enforces conformity,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DEC,NRM_DEC_C,he will forbid her to sell,forbid selling,quote,10,E.26,,Husband prevents woman from selling produce herself,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_INF,NRM_INF_C,you know nothing about the market,market ignorance,quote,10,E.26,,Women are framed as lacking market knowledge,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,do what you are supposed to do in the house,house role,quote,10,E.26,,Woman is directed back to domestic duties,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_DIV,NRM_DIV_C,he is accustomed to her support,expected support,quote,10,E.27,,Her labor support to his plot is taken for granted,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,people suspect adultery if woman markets often,adultery suspicion,quote,10,E.28,,Market-active women risk sexualized suspicion,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,husbands may forbid wives to associate with her,bad influence,quote,10,E.28,,Norm-breaking woman seen as contaminating influence,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,he was hypnotized by her,emasculation,quote,10,E.29,,Male role reversal draws ridicule and pity,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,overpowered by a woman; chores are woman’s job,role reversal stigma,quote,10,E.29,,Household chores by men are seen as unacceptable,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,she is controlling him and household,woman controls man,quote,10,E.30,,Female economic success is reframed as domination,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,maybe he should be happy if wife brings income,supportive alternative,quote,11,E.30,,One respondent offers a more egalitarian reaction,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_STIG,NRM_STIG_C,group laughed: happy when wife brings money?,group rejection,quote,11,E.30,,Group reaction rejects wife-as-provider norm,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,father and mother are equal to me,equality basic,quote,11,E.31,,Respondent expresses a general equality ideal,ENU_3,0.85
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,equality is men and women talking equally in meetings,equal voice,quote,11,E.31,,Equality defined as equal public participation,ENU_3,0.95
ET,ET2,"	
GENNOVATE_ET2.xlsx",FG_E_Aspirations of Youth,ET2E_M,Male,NRM_EQ,NRM_EQ_YS,"if women work a man’s job, she is equal",women doing men’s work,quote,11,E.31,,Equality is associated with women entering male domains,ENU_3,0.95
