country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_COL,We all wanted to get a government job,a government job,quote,E.10,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,ASP,ASP_COL,I wanted to do engineering ,engineering,quote,E.10,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,GAP,GAP_SML,Most boys do some business or private job or else farming.,business or private job,quote,E.11,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,GAP,GAP_WID,Most boys do some business or private job or else farming., or else farming,quote,E.11,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,GAP,GAP_WID,We should not do farming since there is no money in it; everything is becoming expensive but grains,,quote,E.12,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,GAP,GAP_WID,agriculture is not at all a lucrative option,,quote,E.12,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_INF,NRM_INF_C,No young women don’t get the same opportunities as young men to learn new things in agriculture,,quote,E.15,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,Women do agriculture only if their men are not around since they also have to take care of all household work,,quote,E.15,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_N,In some households women do farming because they need the money,,quote,E.15,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,"Yes, women mostly do weeding and carry food and water for their fathers and brothers who are working in their filed",,quote,E.18,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,"Boys drive the zero tiller, do irrigation, use “fawda” (axe)",,quote,E.18,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,Women also do manual sowing of corn ,,quote,E.18,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,They will face problems in harvesting,,quote,E.19,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,They will not have their parents’ support,,quote,E.19,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,They will not be allowed to do farming by their parents since it will harm their reputation,,quote,E.19,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,"Men usually do most of the work – they do irrigation, spray pesticides, sowing –everything",Men usually do most of the work,quote,E.22,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_N,If there is some problem for example if the man has some urgent work to take care of tehn his wife will do the work, if the man has some urgent work to take care of,quote,E.22,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,She will consult her husband and other family members,,quote,E.24,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_INF,NRM_INF_O,She will ask other successful farmers,,quote,E.24,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_INF,NRM_INF_O,He will let her join this group,He will let her join,quote,E.25,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_INF,NRM_INF_C,Most men will not allow their wives because that will be against the rules of the society,Most men will not allow their wives ,quote,E.25,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,He is the head of the family and will not let her go and sell,will not let her go and sell,quote,E.26,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,He will definitely not let her go alone,will definitely not let her go alone,quote,E.26,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_O,"No, he will not ask for his help and will understand that she is working very hard for her family, taking care of his home and also working to earn money",,quote,E.27,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,She will have to talk to her customer with a smile on her face and the community will misconstrue her intentions,the community will misconstrue her intentions,quote,E.28,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,If a woman goes outside to work and sell in-spite of having a husband then people say she has a bad character,people say she has a bad ch,quote,E.28,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,If a woman doesn’t have a husband and no other male member then she has no choice but to work to make a living and if people call her names then she will suffer silently but continue to work,if people call her names then she will suffer silently but continue to work,quote,E.28,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People may not say anything on his face but will definitely talk behind his back,will definitely talk behind his back,quote,E.29,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People will say that his wife doesn’t respect him and doesn’t listen to him and goes out to work,People will say that his wife doesn’t respect him ,quote,E.29,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People will call him “kaamchor” (one who shies from work),People will call him “kaamchor” (one who shies from work),quote,E.29,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,If your wife is earning more than you then people will make fun of you,,quote,E.30,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,He will be jealous of her,,quote,E.30,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_AST,NRM_AST_O,But if a husband and his family members understand that they are able to eat because his wife is working hard then he will support her and respect her,,quote,E.30,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_AST,NRM_AST_O,She will be an inspiration for the community,,quote,E.30,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_EQ,NRM_EQ_YS,Equal opportunities in education and job,,quote,E.31,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_EQ,NRM_EQ_YS,Women should be able to help their husband in farming too,,quote,E.31,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_EQ,NRM_EQ_YS,Gender equality will ensure that women become independent,,quote,E.31,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_EQ,NRM_EQ_YS,Girls should get the same respect at home as boys ,,quote,E.31,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_EQ,NRM_EQ_YS,Only then will women stop being hesitant and will have the courage to come forward and work and do well,,quote,E.31,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_N,They will discuss and decide by mutual consent,decide by mutual consent,quote,E.32,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DIV,NRM_DIV_C,[male spouse] will go to sell,,quote,E.33,,replaced David with [male spouse],ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,Women don’t go to sell because society looks down upon such women, society looks down upon such women,quote,E.33,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_AST,NRM_AST_C,Such are the rules of the society which forbid a woman from selling in the market,forbid a woman from selling in the market,quote,E.33,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_O,She will explain everything in detail to David about the new practice and he will agree to make the change at least on a portion of their land,he will agree to make the change,quote,E.34,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,it is difficult for [female spouse] to go ahead and purchase the plot of land in the absence of  [male spouse]'s support,,transcriber's summary,E.35,,replaced David with [male spouse] and Diana with [female spouse],ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,"But it will be difficult since her husband will threaten her, abuse her and may hit her too to pressurize her to give him the money","her husband will threaten her, abuse her and may hit her",quote,E.36,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,they are both bound to fight,fight,quote,E.36,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,he will buy the bike irrespective of whether she agrees or not,whether she agrees or not,quote,E.37,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_O,"Yes, they walk alone comfortably in our village but we will not like it and will allow them",they walk alone comfortably,quote,E.38,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_C,These are not safe times for girls to roam around alone since some boys are just hopeless and will pass comments and when the girl will come home and tell her family then it will lead to a lot of unnecessary tension,These are not safe times for girls to roam around alone,quote,E.38,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_C,it is best if they did not go out alone,it is best if they did not go out alone,quote,E.38,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_C,No newly wedded woman don’t go out alone,,quote,E.39,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,It will tarnish the image of her husband and family in the village,It will tarnish the image of her husband and famil,quote,E.39,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People will start questioning the family,People will start questioning the family,quote,E.39,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_C,It is not acceptable in our society,,quote,E.39,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,Normally women themselves not go to sell in the local market but widows do it for livelihood,women themselves not go to sell in the local market but widows do it for livelihood,quote,E.40,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,Wives of alcoholic addicts also go to sell,,quote,E.40,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,No woman moves around without any reason, without any reason,quote,E.41,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,They go for some time for some work or for to meet a friend,for some work or for to meet a friend,quote,E.41,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,But newly married don’t go anywhere alone; they can at best go to their neighbor’s,newly married don’t go anywhere alone,quote,E.41,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_MOB,NRM_MOB_N,Older women go wherever they want,Older women go,quote,E.41,,,ENU_2,0.9,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People will say that he wasn’t able to find work etc and that he will never succeed in life,,quote,E.43,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,People will call him good for nothing,,quote,E.43,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C,Parents search for a match for their boy/girl and arrange the marriage,Parents search for a match,quote,E.45,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_C, girls are never asked for their opinion,,quote,E.45,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,There are 2-3 couples who have eloped and married and never returned here,eloped and married and never returned here,quote,E.45,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_STIG,NRM_STIG_C,"[if they elope] their families don’t accept them, fearing the lash back of the community.",,transcriber's summary,E.45,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_O,We think it is best that our parents take such decisions,it is best that our parents take such decisions,quote,E.46,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_N,The concept of love marriage where the boy and the girl take this decision is good but such marriages don’t last,such marriages don’t last,quote,E.46,,,ENU_2,0.95,
IN,IN3,GENNOVATE_IN3.xlsx,FG_E_Aspirations of Youth,IN3_M,male,NRM_DEC,NRM_DEC_O,"Yes, now women can decide when to have a child and how many to have","Yes, now women can decide ",quote,E.50,,,ENU_2,0.95,
